"","job_title","company_name","job_location","job_description"
"141","Field Sales Support Systems Engineer Staff","LOCKHEED MARTIN CORPORATION","Marietta, GA 30063","Marietta, GA 300635+ years experienceThis position is located in Iraq.
This position executes work on an international assignment in Iraq as the C-130 Customer Site Lead.
This program requires a highly motivated person to act as a liaison between the Contractor Maintenance Team (CMT) Team and the Iraqi Air Force (IqAF).
Role and responsibilities will include day-to-day operations for maintenance, supply and training of the IqAF in Iraq.
The on-site lead will interface with the USG Program Manager team to ensure joint management team efforts are fully coordinated and integrated to ensure Contractor tasks are properly managed and executed; will provide status and monitor any on-going schedule maintenance tasks; shall manage a sustainment logistics program for the C-130 consisting of logistics, sustainment, Package, Handling, Shipping, and Transportation (PHS&T), data support for materiel packing and shipping, systems familiarization, and data collection and reporting; coordinate with local sub-contractors; responsible for coordinating subordinate employee recruitment, selection and training, performance assessment, work assignments, salary, and recognition/disciplinary actions.
Acts as customer contact for program activities, participating in program review sessions with customer to discuss cost, schedule, and technical performance; identifies program problems and obtains solutions, such as allocation of resources or changes; maintain a good working relationship with IqAF customer personnel and be aware of and respect cultural differences at the host location.
As the site lead of this CMT team, manage all in-country requirements which will be instrumental to the IqAF’s ability to become a self sufficient Air Force.
Able to obtain or possess a current passport.
Must be able to obtain a US security clearance.Basic Qualifications:
5 years of aircraft maintenance management experience;
Experience in the areas of aircraft maintenance, operations and training;
Experience multi-tasking and prioritizing;
Experience interfacing with multiple levels of internal management and customers
Experience leading a teamDesired Skills:
Knowledgeable and conversant in military Maintenance, flight operations, safety, standardization, and supervision instructions and student management;
Demonstrated understanding of the importance of plans &
schedules;
Ability to utilize tools to manage all
projects/programs;
5 years experience on C-130J aircraft;
US DoD aviation maintenance, flight operations, and command experience;
A thorough working knowledge of TO military specifications;
Formal presentation skills, including the ability to interface at all levels and with multiple departments;
Ability to coordinate and communicate with US and Iraq Air Force leadership and personnel;
Must have strong professional interpersonal skills;
Experience in Foreign Military Sales (FMS) environment;
Experience working in a Security Level 5 country such as Iraq and/or Afghanistan; and
FAA A&P certificationBASIC QUALIFICATIONS:
job.QualificationsLockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.
As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.EXPERIENCE LEVEL:
Experienced Professional"
"142","Sales Engineer - Accelerated Controls Excellence (ACE) Development Program","Johnson Controls","Milwaukee, WI","Milwaukee, WI1+ years experienceWhat you will do.
The Johnson Controls Accelerated Controls Excellence (ACE) Development Program is a two-year inside sales program designed to help top talent develop their skills and become a future leader within our company. Under general supervision, you will provide sales support for Sales Managers and Channel Account Managers. You will also provide technical support, product selection assistance, and order processing assistance to this set of customers. This function allows Channel Account Managers to spend more time in customer contact.How you will do it.Provides technical, commercial and pricing support to Field Sales personnel and customers.
Develop relationships with managed and maintained account base to generate new business opportunities.
Establish quarterly cadence with Channel Account Managers for face-to-face customer calls.
Manage customer accounts receivable issues.
Performs miscellaneous follow-up with customers on service problems, billing problems, etc. to ensure customer satisfaction.
Develop working relationships with Price Administration, Customer Service, and Product Management teams.
#ACE #InsideSales
Qualifications

What we look for.
RequiredBachelor’s degree minimum (Engineering Degree)
Undergraduate senior expecting to graduate December 2018 or the latest, May 2019
PreferredInternship experience in HVAC/controls industry is highly preferred
1-3 years of sales experience
Proficiency with MS Office programs (MS Word, MS Excel, MS PowerPoint), internet software and e-mail
Excellent communication skills
Strong analytical and problem solving skills
Product knowledge
Available to travel up to 25% - dependent upon your assignments
Johnson Controls is an equal employment opportunity and affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, status as a qualified individual with a disability, or any other characteristic protected by law. For more information, please view EEO is the Law. If you are an individual with a disability and you require an accommodation during the application process, please visit www.johnsoncontrols.com/tomorrowneedsyouAbout JCI Career opportunities
During your assignment with JCI, you may have a variety of developmental opportunities in addition to your work assignments, such as, roundtable discussions with senior leaders to skill-building workshops, networking events, and community activities. No matter what your assignment, you will be presented with exceptional opportunities that help you explore diverse career paths! For more information on our company, a list of other career opportunities, or to create a profile you can visit us at http://on.jci.com/EarlyCareerJob Field Operations
Primary LocationUS-WI-Milwaukee
Organization Bldg Technologies & Solutions
Overtime Status-Exempt"
"143","Inside Sales Engineer - Accelerated Controls Excellence (ACE) Development Program (CANADA & US)","Johnson Controls","Milwaukee, WI","Milwaukee, WI1+ years experienceWhat you will doThe Johnson Controls Accelerated Controls Excellence (ACE) Development Program is a two-year inside sales program designed to help top talent develop their skills and become a future leader within our company. Under general supervision, you will provide sales support for Sales Managers and Channel Account Managers. You will also provide technical support, product selection assistance, and order processing assistance to this set of customers. This function allows Channel Account Managers to spend more time in customer contact.We are looking for someone from Canada who is bilingual (English/French) who is willing to relocate to Milwaukee, Wisconsin for 2 years. You will get deep dive training into our products, tools, and support personnel. After your experience in Milwaukee and supporting the Channel Account Managers that are responsible for our Canadian market, we would ask you to relocate back to Canada for an outside sales account management role.

Availability: Assignment starts January 2019 or June 2019 (You must be able to start within this timing).How you will do it
Provides technical, commercial and pricing support to Field Sales personnel and customers.
Develop relationships with managed and maintained account base to generate new business opportunities.
Establish quarterly cadence with Channel Account Managers for face-to-face customer calls.
Manage customer accounts receivable issues.
Performs miscellaneous follow-up with customers on service problems, billing problems, etc. to ensure customer satisfaction.
Develop working relationships with Price Administration, Customer Service, and Product Management teams.

#ACE #InsideSales

Qualifications

What we look for
Required
Bachelor’s degree minimum (Engineering Degree)
Bi-lingual: English and French
Undergraduate senior expecting to graduate December 2018 or sooner.

Preferred
Internship experience in HVAC/controls industry is highly preferred
1-3 years of sales experience
Proficiency with MS Office programs (MS Word, MS Excel, MS PowerPoint), internet software and e-mail
Excellent communication skills
Strong analytical and problem solving skills
Product knowledge
Available to travel up to 25% - dependent upon your assignments
Johnson Controls is an equal employment opportunity and affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, status as a qualified individual with a disability, or any other characteristic protected by law. For more information, please view EEO is the Law. If you are an individual with a disability and you require an accommodation during the application process, please visit www.johnsoncontrols.com/tomorrowneedsyou

About JCI Career opportunities
During your assignment with JCI, you may have a variety of developmental opportunities in addition to your work assignments, such as, roundtable discussions with senior leaders to skill-building workshops, networking events, and community activities. No matter what your assignment, you will be presented with exceptional opportunities that help you explore diverse career paths! For more information on our company, a list of other career opportunities, or to create a profile you can visit us at http://on.jci.com/EarlyCareer
Job Field Operations
Primary LocationUS-WI-Milwaukee
Organization Bldg Technologies & Solutions
Overtime Status-Exempt"
"144","Field Sales Specialist System Engineer Staff","LOCKHEED MARTIN CORPORATION","Fort Worth, TX 76108","Fort Worth, TX 761087+ years experienceF-16 Support Equipment (SE) Associate Manager lead Integrator position interfaces with US Air Force (USAF), US Government (USG) Foreign Military, Lockheed Martin (LM) partners, and LM internal representatives and Senior Leadership to support F-16 SE programs. Possesses expertise sufficient to determine SE requirements and provide overall SE management and technical guidance throughout the life of any SE program. Needs specific knowledge in armament systems maintenance and operations and Viper (program loading) capability including software requirements. Participates in SE related conferences, briefings, and meetings with customer including Supportability Assessment Reviews (SAR's), Program Management Reviews (PMR's), and SE Definitization Conferences. Reviews United States Air Force (USAF) Standards to determine F-16 Support Equipment requirements/quantities for each new customer both production and modification programs. Serves as the focal point for the SE integrators, Integrated Logistics Support (ILS) Managers, Program Managers and multiple customers. Must be able to interact with all levels of management. Requires the ability to deal with foreign military and USAF customers while respecting the customs of the foreign customer. Requires strong interpersonal skills and excellent written and verbal communication skills. May require periodic international and domestic travel.
Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information.
Must be a US Citizen. This position is located at a facility that requires special access.
Will also assist in the management of represented employees.Basic Qualifications:
Experience working with USAF maintenance and supply processes.
Experience working with USAF, Country Specific and Time Compliance Technical Orders.
Experience working with Microsoft office products and multiple software systems to accomplish work tasks.
Bachelor’s degree required with 7 years of professional work experience.Desired Skills:
Strong Support Equipment background including weapons systems. Familiar with diagnostic software loading capability. Familiar with Alternate Mission Equipment (AME).
Familiar with United States Government (USG) supply system. Familiar with Microsoft Office products, and has a working knowledge of Cost Account Management (CAM) roles and responsibilities. Ability to serve as Technical Lead and Project Manager for the F-16 Support Equipment and Alternate Mission Equipment requirements.
Ability to interact with numerous disciplines to ensure all F-16 SE/AME are identified, designed, manufactured, procured, tested and delivered to ensure long term sustainability of the F-16 aircraft and the customer.
Must also be proficient in the CAM duties, and have experience with monthly financial meetings.
Must have the ability to obtain a secret clearance.BASIC QUALIFICATIONS:
job.QualificationsLockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.
As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.EXPERIENCE LEVEL:
Experienced Professional"
"145","Sales Engineer HVAC","Rawal Devices, Inc.","Woburn, MA 01801","Woburn, MA 01801$15 - $30 an hour1+ years experienceThis is an outstanding opportunity for an experienced HVAC Sales Engineer. Requires excellent phone skills, and at least 1 + years HVAC industry experience.As an HVAC Sales Engineer you will assist with inbound phone calls and administrative tasks as necessary. However, the majority of your day will be focused on making outbound calls to help us develop strong relationship with our partners and customers. This position is located in our Woburn, MA office. Our company has been in business for more than 25 years. We are a leader in our industry and the exclusive manufacturer of our unique HVAC product.The Sales Engineer will develop customer relationships by providing technical expertise and solving critical application challenges as they occur. Enhancing overall sales will be the main goal for the sales engineer.This person will be responsible for preparing and delivering technical presentations (with a focus on application and engineering processes) to authorized partners, customers, and prospective customers. The Sales Engineer will work closely with authorized partners to ensure target sales revenues are met, sales engineers and technical staff members are trained. In addition to sales, territory management, and account development, the Sales Engineer will be responsible for outbound/inbound technical support calls as well as sales calls.Preference for candidates with knowledge of the HVAC products’ parts and functions and understanding the scientific processes that make these products work.Job Type: Full-timeSalary: $15.00 to $30.00 /hourWork Location:One location"
"146","HVAC Project Sales Engineer","SBF Search, LLC","Denver, CO","Denver, COCommission$75,000 a yearExcellent opportunity to join a well established, industry leading mechanical contractor in this exciting role selling new and retrofit HVAC systems. The selected candidate will have a successful history of selling in a consultative manner and have a solid understanding of HVAC equipment, the cost of operations and return on investment. In lieu of sales experience, consideration will be given to candidates who have a B.S. in Mechanical Engineering with a desire to enter the sales profession in the HVAC industry. Selected candidate will primarily sell to existing customers, greatly reducing the need for cold-calling.

Position is based in the great city of Denver, CO, and qualified relocation candidates welcome to apply!

Compensation commensurate with experience, in the $75,000 range, plus aggressive incentive program.

Candidates must demonstrate the following:
Ability to promote company s approach to engineered services and the value that this brings to the client.
Familiarity with HVAC (heating, ventilation, air conditioning) equipment, lighting and other equipment/products that provide energy efficient solutions.
Proven consultative sales approach to upgrade and enhance the customer's HVAC systems.
Maintain key accounts at assigned booking levels.
Target and qualify new customers to continually increase the base of service customers.
Interfacing with and calling on all levels of decision makers.
Basic Qualifications:
Bachelor's Degree in engineering or marketing desired.
Ability to pass background check and drug screen.
Must possess a valid driver s license.
Additional Qualifications:
Excellent oral and written communication skills.
Proven experience delivering on or above assigned sales quota.
Strong presentation skills.
Team oriented.
Benefits include:
Medical, Dental and Vision, Life and ADD Insurance
Long-Term Disability Insurance
Paid Vacation, Holiday and Sick Time
Auto Allowance and Gas Card
Professional Training and Industry Certifications
Continuing Education Reimbursement
Compensation that includes competitive base plus commission"
"147","HVAC Sales Engineer","SBF Search, LLC","Charlotte, NC","Charlotte, NCExcellent opportunity for experienced HVAC products Sales Engineer to work for a growing Manufacturer's Rep firm selling to customers in the greater Charlotte area.

This is a unique opportunity to inherit an existing customer base as another Sales Engineer nears retirement. Selected candidate will secure business with new customers, as well work in tandem with a current sales engineer to learn the customers they will eventually serve. Experience selling commercial and industrial HVAC equipment, critical airflow and pressurization systems, kitchen filtration, ventilation products, and humidification products in the commercial and industrial markets required.

Company provides team oriented work environment with low employee turnover, competitive benefits and above average earning potential. Some Sales Engineers working for this company consistently earn over $200,000 annually."
"148","Sales Engineer 2","Continental Industries","Elkhart, IN 46514","Elkhart, IN 46514Continental Industries is family owned and located in Elkhart, IN. We are looking for an individual who possesses the ability to grow sales and has relationships with Corporate Headquarters for HVAC distributors as well as help provide support to our customers.Our Goals are high, our pace is fast. Our values require a team player who connects with us and our culture so you can effectively represent our work and our products.Job Type: Full-time"
"149","HVAC Controls Sales Engineer","SBF Search, LLC","Bloomington, IL","Bloomington, IL$80,000 a yearExcellent opportunity for an experienced HVAC Controls Sales Engineer with demonstrated success selling Building Automation Systems. You'll compliment this growing central, IL team utilizing effective lead generation techniques, as well as selling to and providing Account Management for existing accounts.
Compensation commensurate with experience in the $80,000 range, plus excellent incentive program.Primary Responsibilities:
Cultivate and close commercial HVAC/Building Automation projects and associated service opportunities with existing and new customers in various vertical markets.
Meet directly with customers to establish needs and drive the overall sales process.
Work with Operations personnel to execute growth, development, sales and marketing of all Security solutions offered by company.
Create market awareness for company through networking, cold calling, presentations and attendance at local trade association meetings.
Work strategically on targeted owner direct and new construction projects with electrical engineers and general contractors.
Take a leadership role with select product partners in support of their business development activity.
Craft and submit professional written proposals within established deadlines.
Expertise in selling Integrated Building Automation Systems.
Formal strategic selling or other type of professional sales training.
Excellent verbal, written and presentation skills
Company offers immediate comprehensive healthcare benefits plan, 401K Matching Plan, car allowance or company car, above average base salary plus outstanding performance based incentive program, and advancement opportunities."
"150","Sales Engineer HVAC","Great Rock Automation","New York, NY","New York, NY$85,000 - $180,000 a year5+ years experienceJob DescriptionDescription:As a industry Leader in design of HVAC prefabricated pumping solutions we have an opening for an experienced HVAC design engineer.Responsibilities:Perform all necessary HVAC outside technical sales for the NYC metropolitan area.Sales and Product selection of prefabricated pumping systems.Responsible to meet and greet new customers and clients to engage new and existing building owners, engineers and contractsPerform product selections for boilers, heat exchangers, pumps, hydronics, sewage systems and domestic hot water heating systems.Visit contractors and engineers daily to get our product specified and purchasedWork with our office to get the proposals out to the clients.Provide and specification assistance on all pre-bid workProviding technical support and assisting in the parts selection for our customers.Work with our engineers to create or produce solutions that workRequirements:Strong knowledge and familiarity with various HVAC Heating and Pumping systems, including pumps, heat exchangers, boilers valves, controls, operations, procedures, system design and installations.Working knowledge of ASTM, UL, CSA, ETL and ISO requirements.5 years minimum experience with design engineering/testing of HVAC heating and water systems in a design manufacturing environment.Ability to effectively communicate technical information from all sources and respond to questions from customers, engineers, sales, production and service personnel.Ability to multi-task, work as an individual and/or a group.Ability to manage work load and deadlines in a fast paced environmentJob Type: Full-timeSalary: $85,000.00 to $180,000.00 /yearExperience:Sales: 5 years (Required)Engineering: 2 years (Required)License:NY State (Preferred)Language:English (Fluent) (Preferred)Work authorization:United States (Required)Benefits offered:Paid time offHealth insuranceDental insuranceRetirement benefits or accountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedules"
"151","Sales Engineer HVAC","Great Rock Automation","New York, NY","New York, NY$85,000 - $180,000 a year5+ years experienceJob DescriptionDescription:As a industry Leader in design of HVAC prefabricated pumping solutions we have an opening for an experienced HVAC design engineer.Responsibilities:Perform all necessary HVAC outside technical sales for the NYC metropolitan area.Sales and Product selection of prefabricated pumping systems.Responsible to meet and greet new customers and clients to engage new and existing building owners, engineers and contractsPerform product selections for boilers, heat exchangers, pumps, hydronics, sewage systems and domestic hot water heating systems.Visit contractors and engineers daily to get our product specified and purchasedWork with our office to get the proposals out to the clients.Provide and specification assistance on all pre-bid workProviding technical support and assisting in the parts selection for our customers.Work with our engineers to create or produce solutions that workRequirements:Strong knowledge and familiarity with various HVAC Heating and Pumping systems, including pumps, heat exchangers, boilers valves, controls, operations, procedures, system design and installations.Working knowledge of ASTM, UL, CSA, ETL and ISO requirements.5 years minimum experience with design engineering/testing of HVAC heating and water systems in a design manufacturing environment.Ability to effectively communicate technical information from all sources and respond to questions from customers, engineers, sales, production and service personnel.Ability to multi-task, work as an individual and/or a group.Ability to manage work load and deadlines in a fast paced environmentJob Type: Full-timeSalary: $85,000.00 to $180,000.00 /yearExperience:Sales: 5 years (Required)Engineering: 2 years (Required)License:NY State (Preferred)Language:English (Fluent) (Preferred)Work authorization:United States (Required)Benefits offered:Paid time offHealth insuranceDental insuranceRetirement benefits or accountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedules"
"152","Commercial HVAC Outside Sales Engineer - Jacksonville, FL","Tom Barrow Company","Jacksonville, FL 32254 (Woodstock area)","Jacksonville, FL 322545+ years experienceCommercial HVAC equipment supplier in Jacksonville FL has an immediate opening for an Outside Sales Engineer, focused on aggressively promoting and selling TBCo products to an assigned list of Mechanical Engineers and Owners as well as a smaller selected list of Mechanical Contractors.Job Responsibilities Include:
Increase TBCo sales opportunities by generating engineer basis of design specifications for TBCo products
Increase TBCo sales opportunities by developing owner preference for TBCo products and services
Solicit direct sales of TBCo products of owner accounts
Sell TBCo products to an exclusive selected list of mechanical contractors
Increase TBCo market presence through active participation in industry related organizations such as ASHRAE, ASHE, BOMA, etc.
Support/work with other TBCo sales staff to sell more engineered products
The Successful Candidate will:
Daily engage mechanical engineers by providing them with training and competent technical data regarding products, design consultation and application assistance - including daily visits to mechanical engineers offices.
Daily engage owner accounts to generate preference for TBCo products and solicit direct sales
Prepare bids/quotes to be used by all sales staff for assigned engineer/owner accounts
Prepare/supervise/review submittals where appropriate for assigned engineer/owner accounts
Coordinate with TBCo manufacturers to increase sales
Be self-driven and address problems as they arise
Qualifications:
Engineering degree preferred
At least five (5) years of experience direct selling, marketing or designing commercial HVAC products
Technical Product Knowledge
Strong Customer Relationship building skills
Proven Job Management skills
Strong Computer skills
Effective Sales and Marketing skills

Benefits Include:
Competitive Salary with Profit Sharing Bonus – no cap on earnings
Medical Insurance (effective start date) with Company funded HSA;
Dental, Group Life, Short-term & Long-term Disability Insurance; Financial Wellness ProgramVoluntary Vision, Critical Illness, Accident, Additional Life Insurance plus Pre-paid Legal
401(k) Retirement Plan with Company Match
About TBCo:

Founded in 1955, Tom Barrow Company is a manufacturer s representative of heating, ventilation and air-conditioning equipment. We are one of the largest organizations of its kind and a clear leader in our industry. Our corporate office and largest sales group is located in Atlanta, GA with nine additional branches located throughout the Southeast – Jacksonville, Orlando, Tampa, Ft Myers, Pensacola, Savannah, Birmingham, Memphis and Nashville.
We base the success of our company, both past and future, on the quality of our services. We strive to meet the highest standards of personal and professional conduct. This core belief affects many parts of our work experience—the way we meet our customers needs, how we uphold the reputation of our manufacturers and our company, and how we treat each other at work. Integrity is an essential part of all our activities and our 64-year reputation for fair and honest practices is one of our greatest assets.
Why work at TBCo?
It is a place where:
Integrity is a cornerstone of how we do business
Your unique talents and skills can make a difference
You are part of a success-driven team
You can realize your professional and personal goals
You are treated with respect; where you are valued
People join our team and stay
What types of people thrive at TBCo?
People who are:
Passionate about serving customers (internal and external)
Positive and energetic
Dedicated to providing solutions
Able to recognize and seize opportunities
Success-driven
Learn more at www.tombarrow.com"
"153","Sales Engineer - HVAC","Commercial HVAC Service Co.","Katonah, NY","Katonah, NYWe are looking for a full-time sales professional to join our team. Candidate must be energetic with a drive for success, possess excellent one-on-one presentation skills, able to work both independently and as part of a team. The ideal candidate will have knowledge of commercial HVAC systems. Mechanical knowledge is also helpful. The most important attribute is a strong motivation and ability to solve customer problems, must be tenacious at follow-up, and must maintain and grow an existing customer base through provision of outstanding customer support. Benefits package. Salary commensurate with experience.Job Type: Full-timeExperience:Mechanical Knowledge: 1 year (Preferred)HVAC: 1 year (Preferred)"
"154","HVAC Project Sales Engineer","Engineered Cooling Services","Birmingham, AL 35216","Birmingham, AL 352163+ years experienceJob Posting: HVAC Project Sales Engineer
Position Description
As a Project Sales Engineer you will be responsible for growing our facilities and energy service business. You will be marketing and selling to facility owners and managers in various non-residential markets including healthcare, commercial property management, local government, industrial, R&D, pharmaceutical, and hospitality.
Responsibilities include: Sales / Marketing
Identification of prospects in assigned market
Promptly follow up on leads and referrals
Establish customer rapport and identify needs
Properly apply company pricing
Effective sales presentations
Interpret mechanical drawings, equipment, and job conditions
Appraise and survey mechanical systems and determine maintenance, repair and modification requirements
Aggressively manage quotes to close sales
Maintain an active backlog of quotes to assure booking goal is consistently met
Redeem annual booking plan in assigned markets
Maintain assigned key accounts at planned booking levels
Business Development
Identifies partnership opportunities and capitalizes on ""add-on"" sales opportunities
Achieves ""add on"" revenue goals
Assists in the identification of strategic accounts
Grows long-term relationships with clients and capitalizes on equity and partnership opportunities.
Qualifications
The following qualifications along with individuals previous work experience will be considered by the company when evaluating applicants.
College degree, ME or CEM preferred
At least 3 years of experience with business to business sales
5 years experience in facilities, HVAC, or energy / sustainability services
Estimating skills
Energy efficiency and Automation system experience
Experience working with Utility funding programs
Experience working with capital equipment financing programs
Knowledge of the business environment in the region
Professional image
Excellent communications skills and ability to engage in professional networking
Demonstrated completion of professional sales training courses
Compensation
Competitive earnings based on qualifications and previous work experience.
Benefits
The following is a brief overview of the company's benefits program.
Major Health Insurance; Medical, Dental and Vision
Life Insurance
Short-Term and Long-Term Disability Insurance
Paid Vacation, Sick Time and Holidays (8)
Professional Training and Industry Certification
Continuing Education Reimbursement
All qualified applicants will receive consideration for employment without regard to veteran status, race, color, religion, sex, sexual orientation, gender identity or national origin.
ECS is a drug free workplace and an equal opportunity employer."
"155","HVAC Controls Sales Engineer","SBF Search, LLC","St. Louis, MO","St. Louis, MO$75,000 a yearExcellent opportunity for an experienced HVAC Controls Sales Engineer with demonstrated success selling Building Automation Systems. You'll compliment this growing St. Louis, MO team utilizing effective lead generation techniques, as well as selling to and providing Account Management for existing accounts.
Compensation commensurate with experience in the $75,000 range, plus excellent incentive program.Primary Responsibilities:
Cultivate and close commercial HVAC/Building Automation projects and associated service opportunities with existing and new customers in various vertical markets.
Meet directly with customers to establish needs and drive the overall sales process.
Work with Operations personnel to execute growth, development, sales and marketing of all Security solutions offered by company.
Create market awareness for company through networking, cold calling, presentations and attendance at local trade association meetings.
Work strategically on targeted owner direct and new construction projects with electrical engineers and general contractors.
Take a leadership role with select product partners in support of their business development activity.
Craft and submit professional written proposals within established deadlines.
Expertise in selling Integrated Building Automation Systems.
Formal strategic selling or other type of professional sales training.
Excellent verbal, written and presentation skills
Company offers immediate comprehensive healthcare benefits plan, 401K Matching Plan, car allowance or company car, above average base salary plus outstanding performance based incentive program, and advancement opportunities."
"156","Technical Sales Application Engineer","Guntner US LLC","Rolling Meadows, IL 60008","Rolling Meadows, IL 600082+ years experienceABOUT GUNTNER: Guntner U.S. LLC is a global leader in heat transfer technology for refrigeration, process cooling and HVAC application.Guntner U.S. first opened its doors in 2001 in order to be able to meet the special demands of the North American market. Currently, the headquarters is located in the Chicagoland area. The Güntner Group is the cross-brand holding company for the brands Güntner, JAEGGI Hybrid Technology, Basetec and Thermowave. The transfer of information and knowledge across all companies and the resulting synergies provide critical development drivers not only for the Group but also for the market.GENERAL JOB DESCRIPTION: Position coordinates inquiries from an opportunity/quotation state, to an order, until its final delivery while maintaining a superior level of customer service.EXPERIENCE and REQUIREMENTS Engineering Degree in Mechanical or Energy Engineering/Technology preferred.Relevant business experience in heat transfer and thermodynamics preferred.Minimum 2 years-experience in Sales and Customer Service.Strong Customer orientation.Strong Communication skills.Effective problem solving skills.A liaison between customers, Order Management and Customer service departments.Attention to sales and technical details.Ability to work in a team environment and assist other team members to achieve team-oriented objectives.Self-motivated, strong leadership skills and ability to manage multiple priorities.MS office advanced knowledge.ERP system software (SAP) preferred.CRM Salesforce knowledge preferred.MAIN TASKS Products and solutions calculation. From design to pricing and quoting opportunities/inquiries through external sales net or directly to customers, under the supervision of the Sales Business Line Leaders.75% time inside sales + 25% outside salesWorkload coordination with Team leadersSales activities:Coordination of all sales activities in their corresponding. Areas/Countries/Business Line related.Prioritization and execution of quotations acc. projects/Customers specifications/demands.Technical clearance and price calculation (inquiry to calculations Dpto).Quoting all kinds of projects special and standard in close contact with Business Line Leaders.Follow up quotation to get orders acc. sales strategy defined.Negotiation of orders and contracts together with Sales Leader and VP Sales in acc. with DOA chart.Placing Customers orders received into OM dpto. with all commercial and technical clarifications needed (including, GPC files, sketches, delivery time, payment terms and other important information to ensure the order is correct and ready for production.Improve internal process, workflows and minimize time bottle necks.Budget responsibility defined together with Sales Managers.Identify weakness and threats in these processes and defining action plans or correct them.Identify and coordinate specific customers’ needs in application/product lines (ie: new products, accessories) with R&D and Product Management.BENEFITS: Health InsuranceVision InsuranceDental Insurance401K PlanVacationSick DaysHolidaysJob Type: Full-time"
"157","HVAC Service Contract Sales Engineer","DebonAir Mechanical","Miami Lakes, FL","Miami Lakes, FL$100,000 a year2+ years experienceSince 1992, DebonAir Mechanical has earned a strong reputation throughout South Florida for providing exceptional service to our clients. Whether it’s for your home or your business, you can rely on DebonAir Mechanical for all of your air conditioning and refrigeration needs. Now we would like to rely on YOU as an addition to our sales force!We are a growing and busy company in need of a self-motivated, outgoing, and confident, customer service-oriented, and results-driven Service Contract Sales Engineer with a background in HVAC. The ability to create and maintain lasting relationships is key!The Service Contract Sales Engineer will be responsible for acquiring new customers and points of contact through proactive means, like networking events, cold calls, and site visits, in addition to other methods you have used in the past. You will also be responsible for maintaining and nurturing the relationships that DebonAir has built and sustained throughout the years. To be considered, you must exhibit the following talents:Successful history in sales (HVAC industry preferred, including knowledge on installs and all relevant equipment)Desire to provide the highest level of customer service by addressing customer concerns and identifying customer needsAbility to effectively close the saleFormer HVAC installers/mechanics who have transitioned into a Sales role preferredJob Requirements:2-5 years of sales experience (industry experience required)Exceptional communication skills and a customer centric perspectiveExtensive knowledge of the HVAC industry and the workings/installation of relevant equipmentStrong presentation and relationship building skills, especially in the HVAC industryExcellent interpersonal, written and verbal communication skillsAbility to manage time efficiently and effectively, with an ability to meet or exceed deadlinesExcellent attention to detail and follow up skillsAbility to attend sales meetings and report on activity, including accountability for quotas and sales marginsWe offer a competitive base salary, commission, gas allowance, and full benefits package.Job Type: Full-timeSalary: $100,000.00 /yearExperience:Sales: 5 years (Preferred)HVAC: 5 years (Preferred)Service Oriented: 5 years (Preferred)Benefits offered:Paid time offHealth insuranceDental insuranceOther types of insuranceRetirement benefits or accountsCommuting/travel assistanceFlexible schedulesWorkplace perks such as food/coffee and flexible work schedules"
